4|One Today|Kem Kỳ Tế Bào Da Chết - 60g|Tẩy tế bào chết|60g||Đã đối chiếu ảnh Phiếu công bố do người dùng cung cấp ngày 18/08/2026. Tên sản phẩm và khối lượng lấy trực tiếp từ hồ sơ hình ảnh.|Cao|User-provided cosmetic product notification image||active|VERIFIED_NOTIFICATION_IMAGE|PUBLISH_ALLOWED|1787023095762_8276717302965400709_8276717302965400709_97c96b418c3a2a75f2493531b93c29f6.jpg|2026-08-18|Kem kỳ tế bào chết One Today 60ml|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM|b5eec2bcebec3f238815c2a08f4bc1818c87c81a1db1b42961d8018910cc0451
5|One Today|Kem Trắng Da Mặt 3 In 1 - 5g|Kem dưỡng/chăm sóc da|5g||Đã đối chiếu ảnh Phiếu công bố do người dùng cung cấp ngày 18/08/2026. Tên sản phẩm và khối lượng lấy trực tiếp từ hồ sơ hình ảnh.|Cao|User-provided cosmetic product notification image||active|VERIFIED_NOTIFICATION_IMAGE|PUBLISH_ALLOWED|1787023095098_8276717302965400709_8276717302965400709_0045fa854137a9651c2ae4bc8d146ddf.jpg|2026-08-18|Kem trắng da mặt 3 in 1 One Today 5g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM|d35caf4b29ffd4afbebaa11cc031ff2b494c3692db35bfdb17beac92977bd29b
6|One Today|Kem Trắng Da Ngừa Mụn 3 Tác Dụng - 8g|Kem dưỡng/chăm sóc da|8g||Đã đối chiếu ảnh Phiếu công bố do người dùng cung cấp ngày 18/08/2026. Tên sản phẩm và khối lượng lấy trực tiếp từ hồ sơ hình ảnh.|Cao|User-provided cosmetic product notification image||active|VERIFIED_NOTIFICATION_IMAGE|PUBLISH_ALLOWED|1787023095185_8276717302965400709_8276717302965400709_34d45c3710666b221b19772adac72630.jpg|2026-08-18|Kem ngừa mụn 3 tác dụng One Today 8g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM|92692e36504fbe34ea1b78fdd662b59bbea1992f5f7f5d38f69822ce77b10d46
8|One Today|Kem Trắng Da Mặt Ngọc Trai - 20g|Kem dưỡng/chăm sóc da|20g||Đã đối chiếu ảnh Phiếu công bố do người dùng cung cấp ngày 18/08/2026. Tên sản phẩm và khối lượng lấy trực tiếp từ hồ sơ hình ảnh.|Cao|User-provided cosmetic product notification image||active|VERIFIED_NOTIFICATION_IMAGE|PUBLISH_ALLOWED|1787023095598_8276717302965400709_8276717302965400709_8b53ca3243e54811155c04d89b0989b5.jpg|2026-08-18|Kem trắng da mặt ngọc trai 20g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM|aefe8beb958c9cecd616aa9abd4b9925979d47e5124698dca7bb4f4dcb29fe48
9|One Today|Kem Chống Nắng Dưỡng Trắng Da SPF50+ - 15g|Chống nắng|15g||Đã đối chiếu ảnh Phiếu công bố do người dùng cung cấp ngày 18/08/2026. Tên sản phẩm và khối lượng lấy trực tiếp từ hồ sơ hình ảnh.|Cao|User-provided cosmetic product notification image||active|VERIFIED_NOTIFICATION_IMAGE|PUBLISH_ALLOWED|1787023095567_8276717302965400709_8276717302965400709_df32b728753b7bc92cb9a91ee8ae748d.jpg|2026-08-18|Kem trắng da chống nắng SPF 50 cao cấp 15g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM|28ee919c8a930d9fde84fee46b95606aefd40a532c22a280dd26ba18aa3a4dac
11|One Today|Kem Trắng Da Ban Ngày - 15g|Kem dưỡng/chăm sóc da|15g||Đã đối chiếu ảnh Phiếu công bố do người dùng cung cấp ngày 18/08/2026. Tên sản phẩm và khối lượng lấy trực tiếp từ hồ sơ hình ảnh.|Cao|User-provided cosmetic product notification image||active|VERIFIED_NOTIFICATION_IMAGE|PUBLISH_ALLOWED|1787023095502_8276717302965400709_8276717302965400709_78b0a54bdf1ffbb8677186b5e02210ad.jpg|2026-08-18|Kem trắng da ban ngày cao cấp 15g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM|0eec754c7fc8aa25c7ec9da3f55af8f621b4c3f0accd476052e789154b9c875a
12|One Today|Kem Trắng Da Ban Đêm - 15g|Kem dưỡng/chăm sóc da|15g||Đã đối chiếu ảnh Phiếu công bố do người dùng cung cấp ngày 18/08/2026. Tên sản phẩm và khối lượng lấy trực tiếp từ hồ sơ hình ảnh.|Cao|User-provided cosmetic product notification image||active|VERIFIED_NOTIFICATION_IMAGE|PUBLISH_ALLOWED|1787023095472_8276717302965400709_8276717302965400709_296f7896384093492f58a7c7f1415a3b.jpg|2026-08-18|Kem trắng da ban đêm cao cấp 15g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM|bcf7db518c8037c87ee4c6b113799e644043fcb550b5bc9cb6d3c47a14f122d1
13|One Today|Kem Dưỡng Trắng Giúp Mờ Tàn Nhang - Đồi Mồi Cao Cấp - 15g|Kem dưỡng/chăm sóc da|15g||Đã đối chiếu ảnh Phiếu công bố do người dùng cung cấp ngày 18/08/2026. Tên sản phẩm và khối lượng lấy trực tiếp từ hồ sơ hình ảnh.|Cao|User-provided cosmetic product notification image||active|VERIFIED_NOTIFICATION_IMAGE|PUBLISH_ALLOWED|1787023095534_8276717302965400709_8276717302965400709_f6b6e42f2c5ce37b2d18826c1db11277.jpg|2026-08-18|Kem dưỡng trắng da, ngừa tàn nhang, đồi mồi cao cấp 15g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM|d9986e9618b3323db509830ce784d18da935f8fb12bf472a3bf92397e31deaa4
14|One Today|Kem Dưỡng Trắng Giúp Mờ Các Dấu Hiệu Lão Hóa Da - 20g|Kem dưỡng/chăm sóc da|20g||Đã đối chiếu ảnh Phiếu công bố do người dùng cung cấp ngày 18/08/2026. Tên sản phẩm và khối lượng lấy trực tiếp từ hồ sơ hình ảnh.|Cao|User-provided cosmetic product notification image||active|VERIFIED_NOTIFICATION_IMAGE|PUBLISH_ALLOWED|1787023095631_8276717302965400709_8276717302965400709_bee7baef8db3a5c497c0033078124b1e.jpg|2026-08-18|Kem dưỡng trắng, ngừa lão hóa da 20g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM|3a0ca52c8b7a0dfae2b2f0f9e377b5716570833fdaadb859859222d3de84d88b
15|One Today|Kem Giúp Mờ Nám Cao Cấp - 15g|Kem dưỡng/chăm sóc da|15g||Đã đối chiếu ảnh Phiếu công bố do người dùng cung cấp ngày 18/08/2026. Tên sản phẩm và khối lượng lấy trực tiếp từ hồ sơ hình ảnh.|Cao|User-provided cosmetic product notification image||active|VERIFIED_NOTIFICATION_IMAGE|PUBLISH_ALLOWED|1787023095440_8276717302965400709_8276717302965400709_e076b7bbcb07f4f101d78010308dd0bd.jpg|2026-08-18|Kem ngừa nám cao cấp 15g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM|c50a2e88ed5a3c65109d8fa929a29a7de1e1441f8188275ababba730b4b9537f
